노선,연도,실현율,밴드L,밴드U,폭,적중,interval_score,밴드근거,원장채점군
수원-광명,2023,0.879,0.5454,1.0758,0.5303,1,0.5303,LOO 정규(n=59),0
수원-광명,2024,0.8765,0.5454,1.0758,0.5303,1,0.5303,LOO 정규(n=59),0
광주-원주,2022,0.8024,0.548,1.0795,0.5314,1,0.5314,LOO 정규(n=59),1
광주-원주,2023,0.8046,0.548,1.0795,0.5314,1,0.5314,LOO 정규(n=59),1
광주-원주,2024,0.8211,0.548,1.0795,0.5314,1,0.5314,LOO 정규(n=59),1
부산신항제2배후,2022,0.4674,0.5544,1.0726,0.5182,0,1.3883,LOO 정규(n=62),0
부산신항제2배후,2023,0.4384,0.5544,1.0726,0.5182,0,1.6783,LOO 정규(n=62),0
부산신항제2배후,2024,0.3564,0.5544,1.0726,0.5182,0,2.4983,LOO 정규(n=62),0
인천-김포,2022,0.7552,0.5511,1.0815,0.5304,1,0.5304,LOO 정규(n=59),1
인천-김포,2023,0.756,0.5511,1.0815,0.5304,1,0.5304,LOO 정규(n=59),1
인천-김포,2024,0.764,0.5511,1.0815,0.5304,1,0.5304,LOO 정규(n=59),1
상주-영천,2022,0.713,0.5543,1.0826,0.5283,1,0.5283,LOO 정규(n=59),1
상주-영천,2023,0.7168,0.5543,1.0826,0.5283,1,0.5283,LOO 정규(n=59),1
상주-영천,2024,0.7212,0.5543,1.0826,0.5283,1,0.5283,LOO 정규(n=59),1
구리-포천,2022,0.8079,0.5476,1.0791,0.5314,1,0.5314,LOO 정규(n=59),0
구리-포천,2023,0.8263,0.5476,1.0791,0.5314,1,0.5314,LOO 정규(n=59),0
구리-포천,2024,0.816,0.5476,1.0791,0.5314,1,0.5314,LOO 정규(n=59),0
안양-성남,2022,0.6578,0.5643,1.0817,0.5174,1,0.5174,LOO 정규(n=59),1
안양-성남,2023,0.512,0.5643,1.0817,0.5174,0,1.0402,LOO 정규(n=59),1
안양-성남,2024,0.7132,0.5643,1.0817,0.5174,1,0.5174,LOO 정규(n=59),1
서울-문산,2022,0.9912,0.5447,1.0609,0.5162,1,0.5162,LOO 정규(n=59),0
서울-문산,2023,1.0314,0.5447,1.0609,0.5162,1,0.5162,LOO 정규(n=59),0
서울-문산,2024,1.0498,0.5447,1.0609,0.5162,1,0.5162,LOO 정규(n=59),0
봉담-송산,2022,0.8281,0.5515,1.0812,0.5296,1,0.5296,LOO 정규(n=59),0
봉담-송산,2023,0.7343,0.5515,1.0812,0.5296,1,0.5296,LOO 정규(n=59),0
봉담-송산,2024,0.7115,0.5515,1.0812,0.5296,1,0.5296,LOO 정규(n=59),0
화성-광주,2022,1.1994,0.5527,1.0416,0.4889,0,2.0672,LOO 정규(n=59),0
화성-광주,2023,1.2612,0.5527,1.0416,0.4889,0,2.6852,LOO 정규(n=59),0
화성-광주,2024,0.9479,0.5527,1.0416,0.4889,1,0.4889,LOO 정규(n=59),0
포천-화도,2024,0.5529,0.37,0.81,0.44,1,0.44,초기군 고정(운영 1~3년차),0
평택-부여,2024,0.4587,0.37,0.81,0.44,1,0.44,초기군 고정(운영 1~3년차),0
