회사명,사업연도,원본파일,부채비율,자기자본비율,유동비율,당좌비율,차입금의존도,영업이익률,순이익률,ROA_총자산수익률,ROE_자기자본수익률,EBITDA_마진,총자산회전율,자기자본회전율,영업현금흐름_매출비,영업현금흐름_부채상환비,DSCR_근사,이자보상배율,금융비용_매출비,영업수익_원본,영업이익_원본,당기순이익_원본,자산총계_원본,부채총계_원본,자본총계_원본,이자비용_원본,감가상각비_원본,무형자산상각비_원본,순부채,고정장기적합률,유동성지표
[Ãµ¾È³í»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(,2022,[Ãµ¾È³í»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(2023.03.23).pdf,1.3983411921849989,0.41695485332049614,7.659081642991795,7.659081642991795,0.357903246988682,0.7080273689549125,0.40059916460323025,0.13204746474327492,0.31669487401739255,0.8627655172155986,0.3296249129077943,0.7905530065971558,0.5081410132782973,0.28727781750802994,4.814141726047771,3.9507189752669434,0.17921481466726502,279750374265,198070921455,112067766228,848693054773,494826366606,353866688167,50135411477,4726849669,38561205220,494826366606,0.5495927082286929,0.42187264879735004
[Ãµ¾È³í»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(,2023,[Ãµ¾È³í»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(2024.03.25).pdf,1.4280164965638817,0.41185881620458326,4.874014242943377,4.874014242943377,0.3446953778645471,0.5960925145412771,0.336234236403358,0.09176849336408031,0.22281541575280012,0.8014168079031597,0.2729302475134975,0.6626791433740352,0.4580223734579608,0.21254787659638635,3.568357171968806,2.6541382442247374,0.22458985165461615,216458679766,129029398716,72780818904,793091574635,466449817564,326641757071,48614422778,5575400577,38868824888,466449817564,0.5642351801682498,0.39170432962167334
[Ãµ¾È³í»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(,2024,[Ãµ¾È³í»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(2025.03.28).pdf,1.321339806965832,0.4307857027218588,3.309625072238739,3.309625072238739,0.08423749787193707,0.572763442495585,0.33241783117966567,0.10265533279083656,0.2382979104046938,0.7898762228321957,0.30881415845395266,0.7168625989738143,0.4478509414543309,0.24297125398881067,3.8160246503341337,2.7671163559479917,0.20698928733676644,222709133106,127559649753,74032487011,721175266772,410503272690,310671994082,46098404745,9060345499,39292653596,410503272690,0.5925571938494505,0.34634398649859194
[천안논산고속도로],2025,[천안논산고속도로]감사보고서(2026.03.30).pdf,1.003807841216067,0.49904984870860775,3.1774202321847453,3.1774202321847453,0.2321939356053112,0.5790408656389712,0.4822733120788547,0.16167914024825275,0.3239739289905211,0.8055878298509497,0.3352438051181592,0.6717641654148784,0.6393244602880004,0.4278460925094954,4.720782515192464,3.3932066657413658,0.17064709659010976,219278564574,126971249847,105752199605,654086850305,327664906618,326421943687,37419250389,10262257845,39414635276,327664906618,0.5764715776797499,0.3545626916041171
[Æ÷ÃµÈ_µµ°í¼Óµµ·Î]°¨»çº¸°í¼_(,2020,[Æ÷ÃµÈ_µµ°í¼Óµµ·Î]°¨»çº¸°í¼_(2021.04.01).pdf,0.5359651524252699,0.6510564373293316,10.350904706186963,10.350904706186963,0.33194497229226044,,,-0.009428592675372835,-0.01448198978578482,,,,,-0.029694184151938485,,,,,-944590819,-928813527,98510303603,34374536299,64135767304,,12557000,,34374536299,0.8382991141089126,0.15895219876799915
[Æ÷ÃµÈ_µµ°í¼Óµµ·Î]°¨»çº¸°í¼_(,2021,[Æ÷ÃµÈ_µµ°í¼Óµµ·Î]°¨»çº¸°í¼_(2022.04.04).pdf,0.7736569383379138,0.5638068886856415,2.2469650647578736,2.2469650647578736,0.41096506083437684,,,-0.00449572158594032,-0.007973867783738578,,,,,-0.010942756949531906,,,,,-996685370,-979341111,217838469816,95019639913,122818829903,,12693280,,95019639913,0.9677273257442672,0.031458497600485184
[Æ÷ÃµÈ_µµ°í¼Óµµ·Î]°¨»çº¸°í¼_(,2022,[Æ÷ÃµÈ_µµ°í¼Óµµ·Î]°¨»çº¸°í¼_(2023.03.31).pdf,2.008585587466673,0.33238210146517133,1.9798793873417453,1.9798793873417453,0.6459521477460027,,,-0.0030387732007983895,-0.009142409255502006,,,,,-0.0023502666971784176,,,,,-1121670034,-1112687364,366163346349,244457203810,121706142539,,13128096,,244457203810,0.9783000312762522,0.02122982260925372
[Æ÷ÃµÈ_µµ°í¼Óµµ·Î]°¨»çº¸°í¼_(,2023,[Æ÷ÃµÈ_µµ°í¼Óµµ·Î]°¨»çº¸°í¼_(2024.04.08).pdf,3.824563846350041,0.20727262232347418,0.9790637082416295,0.9790637082416295,0.7252843649441774,,,-0.0031200935680806997,-0.015053090625791443,,,,,0.06905355640352344,,,,,-1821369613,-1821953667,583941996368,462906807496,121035188872,,74342261,,462906807496,1.0015141236523948,-0.0014120065916279493
[Æ÷ÃµÈ_µµ°í¼Óµµ·Î]°¨»çº¸°í¼_(,2024,[Æ÷ÃµÈ_µµ°í¼Óµµ·Î]°¨»çº¸°í¼_(2025.04.02).pdf,6.1311518871874195,0.1402297995919433,0.6207112182617853,0.6207112182617853,0.8113327318927941,-0.10913998793598186,-1.070928590811884,-0.03621749671409625,-0.2582724700419316,0.5819340114062125,0.03381877841793291,0.24116684553741546,-0.5627485221702399,-0.022135528269370118,0.6004383844743875,-0.11261042790656091,0.9691818951841772,23196952839,-2531715153,-24842280015,685919300583,589732974526,96186326057,22482066715,473897971,15556913000,589732974526,1.019306969133149,-0.018371788423637077
[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(,2019,[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(2020.04.01).pdf,1.947832658517267,0.3392322821007726,0.856367482059058,0.856367482059058,0.5668317616393233,,,-0.003637262044105644,-0.010722039841199888,,,,,-0.04344971217424111,,,,,-1117226733,-1113961379,306263713060,202369174754,103894538306,,,,202369174754,1.0148910642862576,-0.013492257922800226
[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(,2020,[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(2021.03.25).pdf,3.5874558781029333,0.2179857477808666,0.9831859265863306,0.9831859265863306,0.7116282004590866,,,-0.0025161410715831794,-0.01154268614897047,,,,,-0.005015136010933757,,,,,-1189280666,-1185537758,471173008298,368464007750,102709000548,,,,368464007750,1.0012730835674664,-0.0011834762415917595
[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(,2021,[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(2022.03.10).pdf,5.225963190050105,0.1606177180099827,0.9940143074237826,0.9940143074237826,0.8168830430321822,,,-0.002076175560783843,-0.012926192617521839,,,,,-0.012774333570557203,,,,,-1313340366,-1310694041,631302123846,529903817339,101398306507,,,,529903817339,1.0001377733225054,-0.00013467352760045478
[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(,2022,[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(2023.04.04).pdf,7.37238593647448,0.11944026560499062,1.2690120954458792,1.2690120954458792,0.004718021772774679,0.36721882395292077,-0.3394040178579623,-0.015853687399111874,-0.13273318942158693,0.7793692245040699,0.04671037042863325,0.39107724846420244,0.7918144203066805,0.04200276646611581,1.0915563987555608,0.5143134273544943,0.7139981272544389,35007865116,12855547057,-11881810077,749466655793,659950159363,89516496430,24995550132,294411450,14134094180,659950159363,0.9897585746947987,0.009865828277812305
[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(,2023,[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(2024.03.29).pdf,11.043883555470147,0.08302969680787185,0.6953427787523303,0.6953427787523303,0.8611216300249891,0.2522358622502034,-0.6465520509377356,-0.04163809870242657,-0.5014844122431983,0.7854639374170324,0.06440022677530166,0.775628832227604,-0.04335917806841621,-0.0030451813877462345,0.8715244648010375,0.27987246056660253,0.9012528840442222,46241955644,11663879554,-29897831261,718040261028,658421595859,59618665169,41675695888,427633000,24229876000,658421595859,1.018021159420011,-0.017014701577469885
